分组  , 排名, 机构  , 在职主管, 双星人数, 双星率, 双星率同比
第一组,    1, 重庆  ,      136,       60, 44.1% , -17.4pt
第一组,    2, 浙江  ,      180,      127, 70.6% , -0.6pt
第一组,    3, 江苏  ,      182,      105, 57.7% , 2.4pt
第一组,    4, 河北  ,      318,      112, 35.2% , -8pt
第一组,    5, 山东  ,      325,      110, 33.8% , -8pt
第一组,    6, 四川  ,      168,       48, 28.6% , -2.1pt
第一组,    7, 湖北  ,      351,      133, 37.9% , 2.4pt
第一组,    8, 福建  ,       60,       36, 60.0% , -8.8pt
第一组,    9, 河南  ,      300,       97, 32.3% , -14.2pt
第一组,   10, 广东  ,       74,       29, 39.2% , 2.2pt
第一组,   11, 上海  ,       22,        6, 27.3% , -13.2pt
第二组,    1, 潍坊  ,      111,       65, 58.6% , 2pt
第二组,    2, 辽宁  ,      110,       46, 41.8% , 6pt
第二组,    3, 吉林  ,      101,       54, 53.7% , 2.9pt
第二组,    4, 安徽  ,       67,       27, 40.3% , -5.2pt
第二组,    5, 天津  ,       65,       29, 44.6% , 16.4pt
第二组,    6, 湖南  ,       67,       18, 26.9% , -4.5pt
第二组,    7, 黑龙江,      183,       46, 25.1% , 0.4pt
第二组,    8, 北京  ,       22,       10, 45.5% , 9.1pt
第二组,    9, 云南  ,      109,       33, 30.3% , -17.2pt
第二组,   10, 陕西  ,      120,       25, 20.8% , -1pt
第二组,   11, 山西  ,       77,       18, 23.4% , -16.2pt
第三组,    1, 深圳  ,        1,        1, 100.0%, 66.7pt
第三组,    2, 海南  ,        4,        3, 75.0% , 0pt
第三组,    3, 内蒙古,       52,       18, 34.6% , 8.4pt
第三组,    4, 新疆  ,      100,       31, 31.0% , 0.2pt
第三组,    5, 贵州  ,       19,        4, 21.1% , -14.9pt
第三组,    6, 甘肃  ,      100,       19, 19.0% , -8.4pt
第三组,    7, 宁波  ,        8,        3, 37.5% , -12.5pt
第三组,    8, 宁夏  ,       19,        3, 15.8% , -36.6pt
第三组,    9, 青岛  ,       33,        4, 12.1% , -26.3pt
全系统,     ,       ,     3484,     1300, 37.3% , -4.3pt
