分组  , 排名, 机构  , 在职主管, 活动人数, 活动率, 活动率同比
第一组,    1, 重庆  ,      136,      117, 86.0% , -0.9pt
第一组,    2, 浙江  ,      180,      151, 83.9% , 3.7pt
第一组,    3, 江苏  ,      182,      152, 83.5% , -0.1pt
第一组,    4, 河北  ,      318,      238, 74.8% , -2.3pt
第一组,    5, 山东  ,      325,      241, 74.2% , -6pt
第一组,    6, 四川  ,      168,      121, 72.0% , 5.2pt
第一组,    7, 湖北  ,      351,      247, 70.4% , 4.1pt
第一组,    8, 福建  ,       60,       42, 70.0% , -11.3pt
第一组,    9, 河南  ,      300,      208, 69.3% , -6.8pt
第一组,   10, 广东  ,       74,       40, 54.1% , -7.9pt
第一组,   11, 上海  ,       22,        6, 27.3% , -23.8pt
第二组,    1, 潍坊  ,      111,       92, 82.9% , 3.6pt
第二组,    2, 辽宁  ,      110,       84, 76.4% , -6.1pt
第二组,    3, 吉林  ,      101,       77, 76.2% , 3.2pt
第二组,    4, 安徽  ,       67,       51, 76.1% , 11.5pt
第二组,    5, 天津  ,       65,       48, 73.8% , -1.8pt
第二组,    6, 湖南  ,       67,       47, 70.1% , -1.5pt
第二组,    7, 黑龙江,      183,      126, 68.9% , 0.2pt
第二组,    8, 北京  ,       22,       15, 68.2% , 20.5pt
第二组,    9, 云南  ,      109,       69, 63.3% , -8.4pt
第二组,   10, 陕西  ,      120,       63, 52.5% , 2.5pt
第二组,   11, 山西  ,       77,       34, 44.2% , -17.5pt
第三组,    1, 深圳  ,        1,        1, 100.0%, 66.7pt
第三组,    2, 海南  ,        4,        3, 75.0% , 0pt
第三组,    3, 内蒙古,       52,       38, 73.1% , 0.9pt
第三组,    4, 新疆  ,      100,       70, 70.0% , 7.5pt
第三组,    5, 贵州  ,       19,       12, 63.2% , 11.2pt
第三组,    6, 甘肃  ,      100,       63, 63.0% , -1.2pt
第三组,    7, 宁波  ,        8,        5, 62.5% , -20.8pt
第三组,    8, 宁夏  ,       19,       10, 52.6% , -14pt
第三组,    9, 青岛  ,       33,       14, 42.4% , -26.8pt
全系统,     ,       ,     3484,     2485, 71.3% , -1.1pt
