片区  , 排名, 机构  , 5月达成, 5月达成率, 5月同比, 全年进度, 全年同比
第一组,    1, 河南  ,     735, 119.1%   , 39.9%      , 61.7%   , 19.9%
第一组,    2, 广东  ,     154, 57.3%    , -20.7%     , 60.1%   , 24.6%
第一组,    3, 重庆  ,     348, 74.1%    , -15.8%     , 56.8%   , 14.0%
第一组,    4, 湖北  ,     628, 81.3%    , 17.1%      , 56.1%   , 21.2%
第一组,    5, 山东  ,     635, 70.3%    , 36.6%      , 49.4%   , -2.5%
第一组,    6, 江苏  ,     399, 60.7%    , -5.9%      , 50.1%   , 3.3%
第一组,    7, 浙江  ,     717, 79.3%    , 50.5%      , 55.7%   , 14.4%
第一组,    8, 福建  ,     160, 66.7%    , -1.7%      , 52.9%   , 9.4%
第一组,    9, 河北  ,     551, 69.3%    , 2.6%       , 49.4%   , -3.8%
第一组,   10, 四川  ,     242, 57.6%    , -11.8%     , 47.3%   , -13.2%
第一组,   11, 上海  ,      54, 31.5%    , 46.6%      , 38.1%   , -14.9%
第二组,    1, 天津  ,     196, 103.2%   , 74.6%      , 66.1%   , 35.5%
第二组,    2, 潍坊  ,     232, 83.2%    , 23.0%      , 65.6%   , 18.1%
第二组,    3, 云南  ,     329, 102.3%   , 34.2%      , 63.1%   , 37.8%
第二组,    4, 吉林  ,     209, 100.2%   , 90.6%      , 55.8%   , 6.5%
第二组,    5, 辽宁  ,     206, 77.9%    , 26.0%      , 60.8%   , 23.3%
第二组,    6, 湖南  ,      99, 66.5%    , 11.8%      , 53.6%   , 19.1%
第二组,    7, 黑龙江,     232, 64.6%    , -2.0%      , 51.9%   , -3.6%
第二组,    8, 陕西  ,     117, 63.0%    , -20.2%     , 54.7%   , 14.7%
第二组,    9, 安徽  ,     133, 58.7%    , 35.1%      , 45.4%   , -16.1%
第二组,   10, 山西  ,      94, 48.3%    , -30.9%     , 51.6%   , 6.5%
第二组,   11, 北京  ,      73, 37.6%    , -49.6%     , 39.8%   , -25.0%
第三组,    1, 新疆  ,     180, 93.2%    , 40.5%      , 70.0%   , 32.7%
第三组,    2, 海南  ,      43, 80.7%    , 63.1%      , 38.2%   , -23.9%
第三组,    3, 内蒙古,      93, 74.1%    , 30.6%      , 60.7%   , 20.7%
第三组,    4, 宁波  ,      11, 54.8%    , -32.6%     , 81.4%   , 87.6%
第三组,    5, 甘肃  ,      97, 69.1%    , 23.7%      , 62.1%   , 17.6%
第三组,    6, 贵州  ,      20, 54.3%    , -30.8%     , 65.5%   , 38.4%
第三组,    7, 青岛  ,      30, 48.0%    , -14.0%     , 42.6%   , -14.8%
第三组,    8, 宁夏  ,      28, 43.9%    , -56.9%     , 43.4%   , -13.1%
第三组,    9, 深圳  ,       2, 5.7%     , -93.9%     , 22.3%   , -63.7%
全系统,     ,       ,    7045, 74.1%    , 9.8%       , 54.2%   , 7.2%
