分组  , 机构  , 5月送训_送训, 5月送训_同比, 二季度同引_目标, 二季度同引_达成, 二季度同引_达成率, 二季度同引_同比, 二季度大专+学历_占比, 二季度大专+学历_同比, 二季度本科+学历_占比, 二季度本科+学历_同比
第一组, 河南  ,            7, 250%        ,              22,              32, 145.5%           , 300%           , 43.8%               , 18.8pt              , 12.5%               , 12.5pt
第一组, 江苏  ,           11, -           ,               8,               4, 50.0%            , -56%           , 100.0%              , 22.2pt              , 50.0%               , 5.6pt
第一组, 湖北  ,           10, 150%        ,              18,               8, 44.4%            , 33%            , 37.5%               , 20.8pt              , 12.5%               , 12.5pt
第一组, 山东  ,           21, 11%         ,              18,               8, 44.4%            , -              , 12.5%               , -                   , 12.5%               , -
第一组, 广东  ,            1, -           ,               8,               3, 37.5%            , -              , 66.7%               , -                   , 33.3%               , -
第一组, 四川  ,            1, -50%        ,               9,               3, 33.3%            , 0%             , 33.3%               , -66.7pt             , 33.3%               , 33.3pt
第一组, 河北  ,            7, -56%        ,              21,               6, 28.6%            , 50%            , 16.7%               , 16.7pt              , 0.0%                , 0pt
第一组, 上海  ,            0, -           ,               5,               1, 20.0%            , -100%          , 100.0%              , -                   , 100.0%              , -
第一组, 浙江  ,            2, -50%        ,               8,               1, 12.5%            , 0%             , 100.0%              , 100pt               , 100.0%              , 100pt
第一组, 重庆  ,            0, -100%       ,               7,               0, 0.0%             , -100%          , -                   , -                   , -                   , -
第一组, 福建  ,            0, -           ,               4,               0, 0.0%             , -              , -                   , -                   , -                   , -
第二组, 陕西  ,            3, -84%        ,              13,               8, 61.5%            , 167%           , 25.0%               , 25pt                , 12.5%               , 12.5pt
第二组, 云南  ,            7, -30%        ,              10,               2, 20.0%            , -50%           , 50.0%               , 25pt                , 0.0%                , 0pt
第二组, 湖南  ,            1, -83%        ,               7,               1, 14.3%            , -              , 100.0%              , -                   , 100.0%              , -
第二组, 吉林  ,            0, -100%       ,               8,               1, 12.5%            , -80%           , 0.0%                , -80pt               , 0.0%                , -40pt
第二组, 潍坊  ,            5, -71%        ,               8,               1, 12.5%            , -50%           , 100.0%              , 100pt               , 0.0%                , 0pt
第二组, 辽宁  ,            1, -80%        ,               9,               1, 11.1%            , -50%           , 0.0%                , 0pt                 , 0.0%                , 0pt
第二组, 黑龙江,           11, 1000%       ,              13,               1, 7.7%             , 0%             , 100.0%              , 0pt                 , 100.0%              , 0pt
第二组, 北京  ,            1, -           ,               4,               0, 0.0%             , -              , -                   , -                   , -                   , -
第二组, 山西  ,            1, -           ,              13,               0, 0.0%             , -100%          , -                   , -                   , -                   , -
第二组, 安徽  ,            1, -91%        ,               8,               0, 0.0%             , -100%          , -                   , -                   , -                   , -
第二组, 天津  ,            0, -           ,               5,               0, 0.0%             , -              , -                   , -                   , -                   , -
第三组, 青岛  ,            3, -           ,               3,               9, 300.0%           , -              , 44.4%               , -                   , 11.1%               , -
第三组, 甘肃  ,            4, 0%          ,              16,              11, 68.8%            , 57%            , 36.4%               , 7.8pt               , 18.2%               , 18.2pt
第三组, 宁夏  ,            1, 0%          ,               3,               1, 33.3%            , 0%             , 100.0%              , 0pt                 , 0.0%                , -100pt
第三组, 内蒙古,            1, -           ,               8,               2, 25.0%            , 100%           , 50.0%               , 50pt                , 0.0%                , 0pt
第三组, 新疆  ,           11, 450%        ,              12,               2, 16.7%            , 0%             , 0.0%                , -50pt               , 0.0%                , 0pt
第三组, 贵州  ,            0, -100%       ,               4,               0, 0.0%             , -100%          , -                   , -                   , -                   , -
第三组, 宁波  ,            0, -           ,               3,               0, 0.0%             , -              , -                   , -                   , -                   , -
第三组, 海南  ,            0, -           ,               3,               0, 0.0%             , -              , -                   , -                   , -                   , -
第三组, 深圳  ,            0, -           ,               3,               0, 0.0%             , -              , -                   , -                   , -                   , -
全系统,       ,          111, -14.0%      ,             275,             105, 38.2%            , 47.9%          , 41.0%               , 0.1pt               , 16.2%               , 0.7pt
