分组  , 机构  , 新增_送训, 新增_新增, 新增_达成率, 新增_序时同比, 首阳（起聘）_首阳, 首阳（起聘）_首阳率, 大专+_占比, 大专+_序时同比, 本科+_占比, 本科+_差额
第一组, 河北  ,       390,       100, 89.3%      , 28.2%        ,                60, 42.3%              , 45.0%     , 24.5pt        , 22.0%     , 4pt
第一组, 河南  ,        95,        80, 87.0%      , 15.9%        ,                58, 49.2%              , 36.3%     , 5.8pt         , 17.5%     , -1.5pt
第一组, 浙江  ,        85,        52, 78.8%      , 100.0%       ,                26, 46.4%              , 34.6%     , -11.5pt       , 11.5%     , -7.5pt
第一组, 江苏  ,        73,        48, 73.8%      , -4.0%        ,                19, 35.2%              , 58.3%     , 14.3pt        , 37.5%     , 15.5pt
第一组, 福建  ,        18,        14, 73.7%      , 0.0%         ,                 9, 64.3%              , 71.4%     , 21.4pt        , 50.0%     , 17pt
第一组, 山东  ,       182,        68, 68.7%      , 11.5%        ,                33, 50.0%              , 54.4%     , 29.8pt        , 30.9%     , 9.9pt
第一组, 湖北  ,       183,        69, 63.9%      , -6.8%        ,                49, 69.0%              , 46.4%     , 20.7pt        , 24.6%     , 4.6pt
第一组, 重庆  ,        16,        26, 61.9%      , 85.7%        ,                18, 52.9%              , 38.5%     , 2.7pt         , 15.4%     , -5.6pt
第一组, 上海  ,         8,         5, 45.5%      , 25.0%        ,                 3, 60.0%              , 100.0%    , 50pt          , 80.0%     , 15pt
第一组, 四川  ,        46,        25, 44.6%      , -3.8%        ,                15, 62.5%              , 52.0%     , 40.5pt        , 40.0%     , 22pt
第一组, 广东  ,        20,         8, 25.8%      , -71.4%       ,                 3, 25.0%              , 62.5%     , 30.4pt        , 12.5%     , -17.5pt
第二组, 山西  ,        32,        27, 93.1%      , 12.5%        ,                17, 65.4%              , 63.0%     , 38pt          , 25.9%     , 1.9pt
第二组, 潍坊  ,        25,        27, 79.4%      , 170.0%       ,                 9, 17.0%              , 48.1%     , -1.9pt        , 29.6%     , 4.6pt
第二组, 云南  ,        57,        26, 72.2%      , -3.7%        ,                18, 45.0%              , 50.0%     , 5.6pt         , 23.1%     , 4.1pt
第二组, 湖南  ,        26,        19, 57.6%      , -75.9%       ,                21, 52.5%              , 57.9%     , 27.5pt        , 21.1%     , 3.1pt
第二组, 陕西  ,        14,        18, 54.5%      , 0.0%         ,                 8, 26.7%              , 50.0%     , 16.7pt        , 33.3%     , 16.3pt
第二组, 辽宁  ,        38,        18, 48.6%      , 12.5%        ,                10, 69.2%              , 33.3%     , -29.2pt       , 22.2%     , 3.2pt
第二组, 安徽  ,        29,        12, 41.4%      , -45.5%       ,                 6, 75.0%              , 50.0%     , 4.5pt         , 33.3%     , 6.3pt
第二组, 吉林  ,        21,        10, 32.3%      , -37.5%       ,                 6, 43.8%              , 40.0%     , 8.8pt         , 20.0%     , 3pt
第二组, 天津  ,        16,         7, 28.0%      , 600.0%       ,                 4, 66.7%              , 42.9%     , 42.9pt        , 14.3%     , -4.7pt
第二组, 黑龙江,        37,        15, 20.8%      , -40.0%       ,                12, 66.7%              , 33.3%     , 13.3pt        , 20.0%     , 5pt
第二组, 北京  ,         3,         2, 18.2%      , 100.0%       ,                 0, 0.0%               , 50.0%     , -50pt         , 50.0%     , 5pt
第三组, 宁波  ,         5,         5, 166.7%     , -            ,                 2, 40.0%              , 60.0%     , -             , 20.0%     , -33pt
第三组, 深圳  ,         1,         1, 100.0%     , -50.0%       ,                 0, 0.0%               , 100.0%    , 0pt           , 100.0%    , 32pt
第三组, 青岛  ,         7,         5, 83.3%      , 0.0%         ,                 4, 26.7%              , 60.0%     , -20pt         , 20.0%     , -24pt
第三组, 甘肃  ,        36,        28, 77.8%      , -12.5%       ,                 9, 28.1%              , 39.3%     , 14.3pt        , 25.0%     , 11pt
第三组, 内蒙古,        12,        10, 45.5%      , 11.1%        ,                 2, 25.0%              , 60.0%     , 15.6pt        , 50.0%     , 32pt
第三组, 新疆  ,        35,        15, 35.1%      , -74.5%       ,                 2, 15.4%              , 46.2%     , 24.6pt        , 23.1%     , 9.1pt
第三组, 宁夏  ,         0,         1, 14.3%      , -80.0%       ,                 2, 40.0%              , 100.0%    , 40pt          , 0.0%      , -23pt
第三组, 贵州  ,         0,         0, 0.0%       , -100.0%      ,                 0, -                  , -         , -             , -         , -
第三组, 海南  ,         0,         0, 0.0%       , -            ,                 0, -                  , -         , -             , -         , -
全系统,       ,      1510,       739, 62.6%      , -7.4%        ,               425, 45.6%              , 47.5%     , 16.3pt        , 25.4%     , 5.4pt
