片区  , 排名, 机构  , 5月达成, 5月达成率, 5月同比, 全年标保达成, 全年进度, 全年同比
第一组,    1, 河南  ,    1087, 78.7%    , 4.7%   ,         6774, 58.6%   , 33.7%
第一组,    2, 广东  ,     292, 68.2%    , -31.4% ,         3128, 59.8%   , 46.5%
第一组,    3, 重庆  ,     679, 67.7%    , -30.3% ,         5197, 57.6%   , 23.9%
第一组,    4, 湖北  ,    1121, 64.1%    , -9.7%  ,         8214, 55.1%   , 31.0%
第一组,    5, 山东  ,    1127, 59.6%    , 4.5%   ,         8702, 49.6%   , 9.7%
第一组,    6, 江苏  ,     793, 57.6%    , -18.4% ,         6545, 50.6%   , 11.3%
第一组,    7, 浙江  ,    1268, 56.2%    , 4.2%   ,        10696, 57.7%   , 28.3%
第一组,    8, 福建  ,     290, 56.0%    , -23.7% ,         2315, 50.7%   , 14.6%
第一组,    9, 河北  ,     889, 54.1%    , -17.1% ,         7406, 47.4%   , 6.6%
第一组,   10, 四川  ,     459, 50.2%    , 27.1%  ,         4049, 47.2%   , -1.4%
第一组,   11, 上海  ,     123, 39.9%    , -65.8% ,         1849, 46.7%   , 8.6%
第二组,    1, 天津  ,     309, 107.4%   , 37.6%  ,         2376, 63.7%   , 51.5%
第二组,    2, 潍坊  ,     441, 94.7%    , 5.8%   ,         3619, 63.8%   , 38.1%
第二组,    3, 云南  ,     545, 91.4%    , 2.0%   ,         3741, 60.7%   , 40.5%
第二组,    4, 吉林  ,     336, 68.9%    , 52.4%  ,         1954, 52.0%   , 20.4%
第二组,    5, 辽宁  ,     394, 68.2%    , 29.7%  ,         3200, 59.8%   , 48.9%
第二组,    6, 湖南  ,     202, 58.1%    , 5.3%   ,         1523, 52.0%   , 28.5%
第二组,    7, 黑龙江,     375, 54.5%    , -13.2% ,         3482, 48.6%   , 11.4%
第二组,    8, 陕西  ,     251, 54.2%    , -12.0% ,         2008, 55.6%   , 26.1%
第二组,    9, 安徽  ,     217, 42.8%    , -44.5% ,         1897, 43.2%   , -3.8%
第二组,   10, 山西  ,     192, 41.6%    , -32.7% ,         1859, 51.1%   , 23.6%
第二组,   11, 北京  ,     145, 27.5%    , -57.4% ,         1680, 39.6%   , -21.7%
第三组,    1, 新疆  ,     343, 176.3%   , 33.0%  ,         2696, 71.9%   , 53.5%
第三组,    2, 海南  ,      80, 79.7%    , 13.4%  ,          527, 42.5%   , -15.5%
第三组,    3, 内蒙古,     148, 74.1%    , -1.4%  ,         1284, 55.8%   , 32.8%
第三组,    4, 宁波  ,      23, 73.8%    , 50.3%  ,          358, 83.2%   , 107.4%
第三组,    5, 甘肃  ,     179, 72.8%    , 4.8%   ,         1841, 62.6%   , 31.3%
第三组,    6, 贵州  ,      38, 43.3%    , -51.8% ,          474, 65.8%   , 41.7%
第三组,    7, 青岛  ,      49, 29.3%    , -28.9% ,          527, 41.2%   , -6.4%
第三组,    8, 宁夏  ,      46, 29.0%    , 68.2%  ,          507, 41.6%   , -4.8%
第三组,    9, 深圳  ,       3, 4.2%     , -94.2% ,          110, 21.6%   , -60.9%
全系统,     ,       ,   12444, 61.8%    , -11.6% ,       100538, 53.8%   , 20.6%
