分组  , 排名, 机构  , 在职主管, 达成, 同比   , 占比
第一组,    1, 重庆  ,      136,   75, 5.6%   , 55.1%
第一组,    2, 浙江  ,      180,   97, 7.8%   , 54.5%
第一组,    3, 江苏  ,      182,   90, -3.2%  , 49.7%
第一组,    4, 河北  ,      318,  101, -11.4% , 31.8%
第一组,    5, 山东  ,      325,   89, -10.1% , 27.5%
第一组,    6, 四川  ,      168,   57, 1.8%   , 34.1%
第一组,    7, 湖北  ,      351,  124, 4.2%   , 35.3%
第一组,    8, 福建  ,       60,   27, 0.0%   , 45.0%
第一组,    9, 河南  ,      300,   97, 4.3%   , 32.3%
第一组,   10, 广东  ,       74,   17, -37.0% , 23.0%
第一组,   11, 上海  ,       22,    2, -81.8% , 11.8%
第二组,    1, 潍坊  ,      111,   42, 23.5%  , 37.8%
第二组,    2, 辽宁  ,      110,   35, 9.4%   , 31.8%
第二组,    3, 吉林  ,      101,   39, 11.4%  , 38.6%
第二组,    4, 安徽  ,       67,   18, -33.3% , 26.9%
第二组,    5, 天津  ,       65,   28, 0.0%   , 43.1%
第二组,    6, 湖南  ,       67,   31, 3.3%   , 46.3%
第二组,    7, 黑龙江,      183,   43, -27.1% , 23.6%
第二组,    8, 北京  ,       22,    5, -58.3% , 23.8%
第二组,    9, 云南  ,      109,   37, 2.8%   , 33.9%
第二组,   10, 陕西  ,      120,   20, 5.3%   , 16.7%
第二组,   11, 山西  ,       77,   15, -28.6% , 19.5%
第三组,    1, 深圳  ,        1,    0, -100.0%, 0.0%
第三组,    2, 海南  ,        4,    1, -50.0% , 25.0%
第三组,    3, 内蒙古,       52,   16, -27.3% , 30.8%
第三组,    4, 新疆  ,      100,   29, 3.6%   , 29.0%
第三组,    5, 贵州  ,       19,    2, -60.0% , 11.1%
第三组,    6, 甘肃  ,      100,   27, 12.5%  , 27.0%
第三组,    7, 宁波  ,        8,    2, -50.0% , 25.0%
第三组,    8, 宁夏  ,       19,    5, -16.7% , 26.3%
第三组,    9, 青岛  ,       33,    4, 33.3%  , 12.5%
全系统,     ,       ,     3484, 1175, -4.3%  , 33.9%
