片区  , 排名, 机构  , 活动人力, 同比  , 活动人力达成率
第一组,    1, 重庆  ,      304, -4.7% , 91.6%
第一组,    2, 河南  ,      443, -0.2% , 84.9%
第一组,    3, 湖北  ,      545, 4.6%  , 83.7%
第一组,    4, 浙江  ,      377, 1.3%  , 80.0%
第一组,    5, 江苏  ,      382, -18.0%, 78.0%
第一组,    6, 河北  ,      524, -12.8%, 75.4%
第一组,    7, 四川  ,      238, -7.0% , 74.6%
第一组,    8, 福建  ,       99, -16.8%, 71.7%
第一组,    9, 山东  ,      479, -15.5%, 71.1%
第一组,   10, 广东  ,      120, -22.1%, 69.0%
第一组,   11, 上海  ,       19, -59.6%, 25.3%
第二组,    1, 陕西  ,      120, 23.7% , 98.4%
第二组,    2, 吉林  ,      167, 15.2% , 94.4%
第二组,    3, 潍坊  ,      192, 8.5%  , 90.6%
第二组,    4, 辽宁  ,      192, -7.7% , 88.1%
第二组,    5, 湖南  ,      127, -5.9% , 87.0%
第二组,    6, 云南  ,      181, -2.7% , 82.3%
第二组,    7, 天津  ,      118, -18.6%, 80.8%
第二组,    8, 山西  ,      104, -16.1%, 73.8%
第二组,    9, 黑龙江,      231, -16.9%, 64.2%
第二组,   10, 安徽  ,       94, -26.6%, 59.9%
第二组,   11, 北京  ,       29, -35.6%, 40.8%
第三组,    1, 宁波  ,       13, 0.0%  , 100.0%
第三组,    2, 新疆  ,      150, 1.4%  , 90.4%
第三组,    3, 青岛  ,       28, -3.5% , 80.0%
第三组,    4, 宁夏  ,       32, -18.0%, 80.0%
第三组,    5, 甘肃  ,      114, -5.0% , 78.6%
第三组,    6, 海南  ,        4, -33.3%, 66.7%
第三组,    7, 内蒙古,       83, -11.7%, 59.7%
第三组,    8, 贵州  ,       20, -46.0%, 52.6%
第三组,    9, 深圳  ,        2, -33.3%, 33.3%
全系统,     ,       ,     5531, -9.4% , 77.9%
