片区  , 排名, 机构  , 阳光人力达成, 同比  , 阳光人力达成率, 阳光占比活动
第一组,    1, 重庆  ,          265, 4.4%  , 100.0%        , 86.8%
第一组,    2, 河南  ,          389, 11.8% , 90.0%         , 87.6%
第一组,    3, 湖北  ,          479, 6.8%  , 87.7%         , 87.3%
第一组,    4, 浙江  ,          346, 2.4%  , 84.2%         , 91.2%
第一组,    5, 江苏  ,          357, -5.1% , 86.4%         , 92.9%
第一组,    6, 河北  ,          406, -11.5%, 76.2%         , 76.3%
第一组,    7, 四川  ,          222, -1.8% , 80.1%         , 88.7%
第一组,    8, 福建  ,           96, -2.0% , 85.0%         , 89.9%
第一组,    9, 山东  ,          397, -2.7% , 75.8%         , 82.5%
第一组,   10, 广东  ,          102, -11.3%, 71.8%         , 83.3%
第一组,   11, 上海  ,           18, -63.0%, 26.1%         , 94.7%
第二组,    1, 陕西  ,           93, 15.2% , 90.3%         , 76.7%
第二组,    2, 吉林  ,          142, 23.7% , 99.3%         , 85.0%
第二组,    3, 潍坊  ,          169, 27.1% , 97.7%         , 87.0%
第二组,    4, 辽宁  ,          151, 13.1% , 86.3%         , 78.1%
第二组,    5, 湖南  ,          115, -4.4% , 94.3%         , 89.8%
第二组,    6, 云南  ,          155, 2.0%  , 87.6%         , 85.1%
第二组,    7, 天津  ,           98, -1.0% , 84.5%         , 83.1%
第二组,    8, 山西  ,           89, -10.1%, 77.4%         , 84.6%
第二组,    9, 黑龙江,          206, -6.5% , 68.7%         , 87.0%
第二组,   10, 安徽  ,           77, -21.4%, 59.2%         , 81.9%
第二组,   11, 北京  ,           24, -42.5%, 41.4%         , 82.8%
第三组,    1, 宁波  ,            9, -18.2%, 90.0%         , 69.2%
第三组,    2, 新疆  ,          125, 0.8%  , 93.3%         , 82.7%
第三组,    3, 青岛  ,           22, -4.6% , 81.5%         , 78.6%
第三组,    4, 宁夏  ,           30, -3.3% , 88.2%         , 90.6%
第三组,    5, 甘肃  ,          106, 14.1% , 87.6%         , 88.6%
第三组,    6, 海南  ,            4, -20.0%, 80.0%         , 100.0%
第三组,    7, 内蒙古,           62, -20.8%, 59.0%         , 73.5%
第三组,    8, 贵州  ,           15, -54.8%, 55.6%         , 75.0%
第三组,    9, 深圳  ,            3, 0.0%  , 60.0%         , 100.0%
全系统,     ,       ,         4772, -2.1% , 82.2%         , 85.2%
